Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01371","Almonds, in shell","2016","2016","t","32843"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01371","Almonds, in shell","2017","2017","t","27291"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01371","Almonds, in shell","2018","2018","t","34413"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","t","17333.33"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","t","18234.12"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","t","17855.82"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01341","Apples","2016","2016","t","140903"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01341","Apples","2017","2017","t","170443"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01341","Apples","2018","2018","t","217192"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01343","Apricots","2016","2016","t","17894"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01343","Apricots","2017","2017","t","131816"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01343","Apricots","2018","2018","t","109086"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0115","Barley","2016","2016","t","301856"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0115","Barley","2017","2017","t","94995"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0115","Barley","2018","2018","t","56781"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01229","Cantaloupes and other melons","2016","2016","t","506266"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01229","Cantaloupes and other melons","2017","2017","t","493087.66"
