Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01371","Almonds, in shell","2022","2022","t","63515"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01371","Almonds, in shell","2023","2023","t","67000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01371","Almonds, in shell","2024","2024","t","69315.64"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","t","17883.38"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","t","17908.59"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","t","17889.49"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01341","Apples","2022","2022","t","318402"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01341","Apples","2023","2023","t","324000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01341","Apples","2024","2024","t","333837.85"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01343","Apricots","2022","2022","t","170508"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01343","Apricots","2023","2023","t","174648"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01343","Apricots","2024","2024","t","167698.55"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0115","Barley","2022","2022","t","94687"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0115","Barley","2023","2023","t","90424"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0115","Barley","2024","2024","t","100000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01701","Beans, dry","2022","2022","t","35890"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01701","Beans, dry","2023","2023","t","47837"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01701","Beans, dry","2024","2024","t","55446.01"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01229","Cantaloupes and other melons","2022","2022","t","758068.27"
